time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.367190,-0.1320,-0.0729,0.0014,0.151
2.386749,-0.0638,0.3635,0.0170,0.369
2.405976,0.0537,0.0613,-0.0531,0.097
2.424760,-0.0402,0.0327,0.0165,0.054
2.443077,0.0067,0.0507,-0.0067,0.052
2.462924,-0.0089,-0.0318,0.0147,0.036
2.481491,0.0018,0.0082,-0.0063,0.011
2.500824,0.0099,-0.0085,-0.0068,0.015
2.519777,-0.0014,-0.0064,0.0115,0.013
2.538866,0.0015,0.0010,0.0045,0.005
2.558104,-0.0022,-0.0026,0.0092,0.010
2.577234,0.0046,0.0082,-0.0111,0.015
2.595800,0.0022,0.0078,-0.0026,0.009
2.615891,-0.0036,-0.0194,-0.0006,0.020
2.634059,-0.0001,0.0064,0.0011,0.007
2.653411,0.0081,0.0184,-0.0012,0.020
2.672534,0.0011,-0.0068,0.0016,0.007
2.691522,0.0049,-0.0087,-0.0066,0.012
2.710955,-0.0256,-0.0316,-0.0041,0.041
2.728811,-0.0300,-0.0547,-0.0119,0.063
2.748104,0.0281,0.1468,0.0923,0.176
2.767114,0.0246,0.0289,-0.0261,0.046
2.785853,-0.0174,0.0057,-0.0115,0.022
2.805605,0.0173,-0.0211,-0.0033,0.027
2.824678,-0.0493,0.0303,0.0434,0.072
2.843366,0.0189,0.0830,0.0141,0.086
2.861898,0.0543,0.0320,0.0360,0.073
2.880688,-0.0618,0.0126,-0.0538,0.083
2.900573,0.0007,0.0103,-0.0781,0.079
2.919503,-0.0380,-0.0185,-0.0313,0.053
2.938456,-0.4276,-0.0676,-0.0637,0.438
2.957541,-1.2520,-0.0407,0.1079,1.257
2.976954,-1.7736,-0.3411,0.0501,1.807
2.995986,-2.4309,-0.0304,0.3006,2.450
3.014664,-1.9529,-0.2133,-0.5268,2.034
3.033326,-0.1635,-1.1527,0.9002,1.472
3.051791,0.5662,-0.5870,1.3410,1.570
3.071804,-0.2109,-0.2661,-0.3254,0.470
3.090762,0.3304,-0.2445,-0.2853,0.500
3.110155,0.9008,0.0025,0.9028,1.275
3.130699,0.2332,0.1213,2.4826,2.497
3.147612,-0.6044,0.1303,3.5252,3.579
3.166928,-0.9539,-0.2150,4.0137,4.131
3.185750,-0.0787,-0.5862,4.3997,4.439
3.204458,0.8274,-0.7197,4.7769,4.901
3.223742,0.8413,-0.6374,4.0837,4.218
3.242920,0.4300,-0.4613,2.7426,2.814
3.262076,0.3842,-0.2670,2.0606,2.113
3.281396,-0.0411,-0.3417,2.7060,2.728
