,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change
3103390,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,18:00,2022-01-02,02:00,16.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103391,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,19:00,2022-01-02,03:00,16.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103392,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,20:00,2022-01-02,04:00,15.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103393,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,21:00,2022-01-02,05:00,14.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103394,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,22:00,2022-01-02,06:00,13.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103395,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-01,23:00,2022-01-02,07:00,13.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103396,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,00:00,2022-01-02,08:00,13.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103397,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,01:00,2022-01-02,09:00,14.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103398,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,02:00,2022-01-02,10:00,14.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103399,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,03:00,2022-01-02,11:00,15.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103400,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,04:00,2022-01-02,12:00,14.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103401,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,05:00,2022-01-02,13:00,13.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103402,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,06:00,2022-01-02,14:00,13.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103403,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,07:00,2022-01-02,15:00,15.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103404,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,08:00,2022-01-02,16:00,15.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103405,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,09:00,2022-01-02,17:00,15.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103406,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,10:00,2022-01-02,18:00,17.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103407,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,11:00,2022-01-02,19:00,17.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103408,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,12:00,2022-01-02,20:00,18.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103409,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,13:00,2022-01-02,21:00,18.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103410,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,14:00,2022-01-02,22:00,19.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103411,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,15:00,2022-01-02,23:00,19.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103412,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,16:00,2022-01-03,00:00,18.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103413,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,17:00,2022-01-03,01:00,17.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103414,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,18:00,2022-01-03,02:00,16.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103415,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,19:00,2022-01-03,03:00,15.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103416,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,20:00,2022-01-03,04:00,14.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
3103417,53,71,6,62101,1,46.199901,-119.008329,WGS84,Outdoor Temperature,2022-01-02,21:00,2022-01-03,05:00,15.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Washington,Walla Walla,2022-04-29
