"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"10/13/2022","57","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","41",".","57"
"10/14/2022","57","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","41",".","57"
"10/15/2022","57","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","36",".","57"
"10/16/2022","52","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","33",".","52"
"10/17/2022","60","PM2.5","DAYTON - W MAIN","53-013-0002","AirNow","36",".","60"
"10/18/2022","62","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow",".",".","62"
"10/19/2022","87","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","46",".","87"
"10/20/2022","77","PM2.5","WALLA WALL - 12TH ST","53-071-0005","AirNow","40",".","77"
"10/21/2022","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","37",".","26"
"10/22/2022","24","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","24",".","21"
"10/23/2022","25","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","25",".","20"
"10/24/2022","28","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","28",".","9"
"10/25/2022","30","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","30",".","9"
"10/26/2022","30","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","30",".","9"
"10/27/2022","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35",".","17"
"10/28/2022","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","33",".","18"
"10/29/2022","32","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","32",".","30"
"10/30/2022","31","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","31",".","20"
"10/31/2022","29","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","29",".","15"
"11/01/2022","33","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","33",".","10"
