"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"04/25/2022","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","11","16"
"04/26/2022","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","13","13"
"04/27/2022","41","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","41","8","10"
"04/28/2022","41","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","41","11","15"
"04/29/2022","44","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","44","6","9"
"04/30/2022","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35","5","12"
"05/01/2022","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35","2","13"
"05/02/2022","39","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","39","4","9"
"05/03/2022","36","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","36","6","5"
"05/04/2022","35","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","35","8","9"
"05/05/2022","23","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","23","7","10"
